Rank 40047: 3049 - [11234, 6345, 720] - HP: 1292, STR: 122196, VIT: 172534, SPD: 56, LUK: 2, Attack: 214382, Defense: 262312, Current HP: 1292, A Avg: 230460, D Avg: 262312, [Big Bang[171, 630, 630, 630], Blank Shield[244, 730, 730, 730], Tears of the Dragon[307, 730, 730, 803]]
Rank 40055: 2428 - [11160, 6575, 564] - HP: 50252, STR: 167226, VIT: 182123, SPD: 63, LUK: 1, Attack: 255108, Defense: 269951, Current HP: 50252, A Avg: 321436, D Avg: 269951, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Endpoint[318, 730, 730, 67]]
Rank 40055: 2438 - [11160, 6575, 564] - HP: 50252, STR: 167226, VIT: 182123, SPD: 63, LUK: 1, Attack: 255108, Defense: 269951, Current HP: 50252, A Avg: 318885, D Avg: 269951, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Endpoint[318, 730, 730, 68]]
Rank 40057: 2499 - [11328, 6073, 898] - HP: 41990, STR: 122196, VIT: 138262, SPD: 56, LUK: 2, Attack: 214382, Defense: 228040, Current HP: 41990, A Avg: 267977, D Avg: 228040, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 730, 68]]
Rank 40057: 8221 - [11372, 5941, 986] - HP: 4408, STR: 186681, VIT: 173036, SPD: 56, LUK: 1, Attack: 272494, Defense: 262814, Current HP: 4408, A Avg: 292931, D Avg: 262814, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 803]]
Rank 40057: 8321 - [11372, 5941, 986] - HP: 4408, STR: 186681, VIT: 173036, SPD: 56, LUK: 1, Attack: 272494, Defense: 262814, Current HP: 4408, A Avg: 292931, D Avg: 315376, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 803, 806]]
Rank 40060: 250 - [11251, 6307, 741] - HP: 127053, STR: 161164, VIT: 139168, SPD: 66, LUK: 1, Attack: 246977, Defense: 228946, Current HP: 127053, A Avg: 259325, D Avg: 228946, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 730], Black Box[323, 730, 730, 730]]
Rank 40065: 6769 - [11572, 5349, 1378] - HP: 41990, STR: 162894, VIT: 69718, SPD: 56, LUK: 2, Attack: 255080, Defense: 159496, Current HP: 41990, A Avg: 329053, D Avg: 159496, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 730], Tears of the Dragon[307, 730, 67, 803]]
Rank 40066: 12032 - [11853, 4507, 1939] - HP: 45296, STR: 175948, VIT: 35446, SPD: 56, LUK: 2, Attack: 263830, Defense: 123274, Current HP: 45296, A Avg: 382553, D Avg: 172583, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 68, 806, 807]]
Rank 40072: 11682 - [11879, 4435, 1985] - HP: 45296, STR: 218788, VIT: 1174, SPD: 56, LUK: 2, Attack: 306670, Defense: 89002, Current HP: 45296, A Avg: 450804, D Avg: 89002, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 66, 67, 807]]
